City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country
83,Birao,10.28,22.79,74.26,94,90,5.66,heavy intensity rain,CF
84,Faanui,-16.48,-151.75,77.63,79,9,23.89,light rain,PF
85,Saint-Denis,48.92,2.33,84.99,35,58,18.34,broken clouds,FR
86,Grindavik,63.84,-22.43,59.0,54,0,14.99,clear sky,IS
87,Gladstone,-23.85,151.25,57.2,71,0,5.82,clear sky,AU
88,Butaritari,3.07,172.79,82.17,66,100,4.41,overcast clouds,KI
89,Valparaiso,-33.04,-71.63,57.2,62,0,5.82,clear sky,CL
90,Saint George,37.1,-113.58,91.0,19,1,3.38,clear sky,US
91,Thompson,55.74,-97.86,59.0,82,75,11.41,light intensity shower rain,CA
92,Canutama,-6.53,-64.38,88.56,36,17,6.49,few clouds,BR
93,Adeje,28.12,-16.73,84.2,58,20,14.99,few clouds,ES
94,Adrar,20.5,-10.07,104.02,19,47,11.05,scattered clouds,MR
95,Den Helder,52.96,4.76,72.0,64,0,25.28,clear sky,NL
96,Vaini,-21.2,-175.2,73.4,100,75,2.24,broken clouds,TO
97,Mar Del Plata,-38.0,-57.56,62.6,36,0,11.41,clear sky,AR
98,Shakiso,5.75,38.92,61.66,85,64,3.11,broken clouds,ET
99,Lagoa,39.05,-27.98,69.13,63,99,5.64,overcast clouds,PT
100,Chuy,-33.7,-53.46,54.61,49,0,10.71,clear sky,UY
101,Akyab,20.15,92.9,81.28,85,100,6.82,light rain,MM
102,Provideniya,64.38,-173.3,49.78,94,100,7.56,light rain,RU
103,Severodvinsk,64.56,39.83,68.0,77,1,2.24,clear sky,RU
104,Galle,6.04,80.22,80.29,85,99,10.56,overcast clouds,LK
105,Weihe,33.0,105.32,65.23,90,92,2.98,light rain,CN
106,Rumonge,-3.97,29.44,78.22,60,63,5.64,broken clouds,BI
107,Upernavik,72.79,-56.15,46.27,63,100,9.33,overcast clouds,GL
108,Mae Tha,18.46,99.14,78.8,94,75,1.12,light rain,TH
109,Nikolskoye,59.7,30.79,75.2,44,19,6.71,few clouds,RU
110,Alyangula,-13.85,136.42,60.8,100,1,5.82,clear sky,AU
111,Vrises,35.49,23.89,84.99,61,20,10.29,few clouds,GR
112,Shirokiy,49.76,129.52,57.79,86,15,5.59,few clouds,RU
113,Pitimbu,-7.47,-34.81,84.2,66,75,17.22,broken clouds,BR
114,Baykit,61.67,96.37,55.92,68,94,1.79,overcast clouds,RU
115,Umtata,-31.59,28.78,57.2,58,0,10.29,clear sky,ZA
116,Guerrero Negro,27.98,-114.06,88.05,49,42,11.45,scattered clouds,MX
117,Port Hardy,50.7,-127.42,57.2,100,90,11.18,light rain,CA
118,Porto Murtinho,-21.7,-57.88,57.15,49,39,8.14,scattered clouds,BR
119,Luderitz,-26.65,15.16,71.51,24,0,16.2,clear sky,NA
120,Magadan,59.57,150.8,45.99,62,100,8.08,overcast clouds,RU
121,Comodoro Rivadavia,-45.87,-67.5,66.2,37,0,12.75,clear sky,AR
122,Krasnooktyabrskiy,44.93,38.37,77.0,68,97,8.9,light rain,RU
123,Melo,-32.37,-54.18,53.02,51,0,10.94,clear sky,UY
124,Castro,-24.79,-50.01,45.03,85,100,6.49,overcast clouds,BR
125,Mahebourg,-20.41,57.7,73.4,64,75,9.17,broken clouds,MU
126,Immokalee,26.42,-81.42,90.0,59,1,9.17,clear sky,US
127,Victoria,22.29,114.16,84.0,70,60,3.0,broken clouds,HK
128,Byron Bay,-28.65,153.62,55.0,76,0,6.93,clear sky,AU
129,Mumford,5.26,-0.76,76.62,84,66,13.42,broken clouds,GH
130,Tasiilaq,65.61,-37.64,50.0,57,20,9.17,few clouds,GL
131,Bambous Virieux,-20.34,57.76,73.4,64,75,9.17,broken clouds,MU
132,Saint-Francois,46.42,3.91,89.6,35,13,4.7,few clouds,FR
133,Souillac,-20.52,57.52,73.4,64,75,9.17,broken clouds,MU
134,Sola,-13.88,167.55,78.8,100,40,15.97,scattered clouds,VU
135,Tabas,33.6,56.92,102.2,11,0,4.7,clear sky,IR
136,Shahpura,27.38,75.97,82.4,83,40,2.24,haze,IN
137,Xining,36.62,101.77,62.46,72,51,1.83,broken clouds,CN
138,Kimbe,-5.55,150.14,74.52,87,2,4.43,clear sky,PG
139,Constitucion,-35.33,-72.42,61.75,51,0,3.06,clear sky,CL
140,Tiksi,71.69,128.87,37.78,87,85,9.31,overcast clouds,RU
141,Fare,-16.7,-151.02,77.68,79,1,24.87,light rain,PF
142,Batemans Bay,-35.72,150.18,39.0,84,44,1.99,scattered clouds,AU
143,Englewood,39.65,-104.99,82.0,26,20,5.82,few clouds,US
144,Zhengjiatun,43.51,123.51,59.61,78,0,2.95,clear sky,CN
145,Amposta,40.71,0.58,86.0,65,0,5.99,clear sky,ES
146,Qaqortoq,60.72,-46.03,55.4,50,5,6.93,clear sky,GL
147,Port Hedland,-20.32,118.57,64.4,48,3,5.82,clear sky,AU
148,Bubaque,11.28,-15.83,79.65,84,99,17.43,moderate rain,GW
149,Bethel,41.37,-73.41,81.0,61,1,6.93,clear sky,US
150,Northam,51.03,-4.22,68.0,80,100,7.0,light rain,GB
151,Clyde River,70.47,-68.59,43.02,85,100,4.21,overcast clouds,CA
152,Vao,-22.67,167.48,70.83,77,0,7.49,clear sky,NC
153,Tuktoyaktuk,69.45,-133.04,49.35,82,0,4.94,clear sky,CA
154,Port Alfred,-33.59,26.89,59.56,67,0,6.33,clear sky,ZA
155,Barra Patuca,15.8,-84.28,78.15,89,100,6.44,light rain,HN
156,Elbistan,38.21,37.2,75.61,35,91,6.02,overcast clouds,TR
157,Broken Hill,-31.95,141.43,44.6,70,0,13.87,clear sky,AU
158,Saint-Augustin,51.23,-58.65,68.16,38,0,16.06,clear sky,CA
159,Eydhafushi,5.1,73.07,83.28,70,100,5.75,overcast clouds,MV
160,Poum,-20.23,164.02,71.17,73,0,6.53,clear sky,NC
161,Anadyr,64.75,177.48,50.0,100,90,17.9,light rain,RU
162,Kamskiye Polyany,55.43,51.42,55.4,93,90,8.95,overcast clouds,RU
163,Sao Felix Do Xingu,-6.64,-51.99,102.61,14,82,4.79,broken clouds,BR
164,Katsuura,35.13,140.3,82.0,88,2,3.0,clear sky,JP
165,Hofn,64.25,-15.21,60.8,38,100,20.8,overcast clouds,IS
166,Dutse,11.76,9.34,79.21,70,88,6.49,overcast clouds,NG
167,Cabedelo,-6.98,-34.83,84.2,66,75,17.22,broken clouds,BR
168,Lata,40.16,-8.33,84.0,49,88,10.58,overcast clouds,PT
169,Paita,-5.09,-81.11,71.6,60,40,14.99,scattered clouds,PE
170,Newport,51.59,-3.0,66.99,74,99,4.0,light rain,GB
171,Zhoucheng,35.91,116.31,70.18,91,60,3.85,broken clouds,CN
172,Saint-Georges,12.06,-61.75,87.8,74,40,12.75,scattered clouds,GD
173,Tura,25.52,90.22,74.71,91,19,5.57,few clouds,IN
174,Kaka,37.35,59.61,86.61,19,0,13.13,clear sky,TM
175,Palmer,42.16,-72.33,82.99,51,40,5.82,scattered clouds,US
176,Airai,-8.93,125.41,58.39,66,0,3.22,clear sky,TL
177,Tessalit,20.2,1.01,108.27,7,8,21.74,clear sky,ML
178,Bongandanga,1.5,21.05,75.63,95,83,2.59,moderate rain,CD
179,Esperance,-33.87,121.9,48.2,87,99,4.7,overcast clouds,AU
180,Cheremushskiy,61.27,47.26,57.07,74,54,4.45,broken clouds,RU
181,Paamiut,61.99,-49.67,47.1,77,1,4.83,clear sky,GL
182,Mao,39.89,4.27,82.4,83,75,5.82,broken clouds,ES
183,Rehoboth,-23.32,17.08,69.13,15,5,10.18,clear sky,NA
184,Yibin,28.77,104.62,78.28,79,68,2.13,light rain,CN
185,Tiarei,-17.53,-149.33,75.2,78,40,3.36,shower rain,PF
186,San Pedro,14.35,121.02,81.0,94,100,1.12,overcast clouds,PH
187,Nisporeni,47.08,28.18,84.2,35,1,11.41,clear sky,MD
188,Ahipara,-35.17,173.17,55.67,87,0,7.63,clear sky,NZ
189,Fort Frances,48.6,-93.4,69.01,93,90,4.7,mist,CA
190,Yerbogachen,61.28,108.01,55.15,89,41,4.18,scattered clouds,RU
191,Havoysund,71.0,24.66,59.0,76,75,5.82,broken clouds,NO
192,Gualaquiza,-3.4,-78.55,64.94,89,100,1.68,moderate rain,EC
193,Champerico,14.3,-91.92,86.0,66,40,11.41,scattered clouds,GT
194,Pisco,-13.7,-76.22,61.0,87,90,6.93,mist,PE
195,Enshi,30.3,109.48,73.0,83,46,0.78,light rain,CN
196,Tanout,14.97,8.89,89.87,43,100,2.51,light rain,NE
197,Acarau,-2.89,-40.12,89.15,49,22,16.75,few clouds,BR
198,Tailai,46.38,123.4,64.99,90,0,10.0,clear sky,CN
199,Santa Rosa,14.31,121.11,81.0,94,100,1.12,overcast clouds,PH
200,Saskylakh,71.92,114.08,41.68,79,95,7.72,overcast clouds,RU
201,Plavsk,53.71,37.29,61.88,66,71,3.24,broken clouds,RU
202,Narsaq,60.92,-46.05,55.4,50,5,6.93,clear sky,GL
203,La Foa,-21.71,165.83,59.0,100,0,2.24,clear sky,NC
204,Soyo,-6.13,12.37,80.6,65,20,8.05,few clouds,AO
205,Waipawa,-41.41,175.52,51.01,93,92,5.82,overcast clouds,NZ
206,Gasa,31.5,34.47,88.0,46,0,8.81,clear sky,PS
207,The Valley,18.22,-63.06,86.0,79,20,16.11,few clouds,AI
208,Olinda,-8.01,-34.86,84.2,66,40,14.99,scattered clouds,BR
209,Kushiro,42.98,144.37,58.91,85,95,4.34,overcast clouds,JP
210,Sabang,5.89,95.32,84.2,70,94,8.68,overcast clouds,ID
211,Aksu,41.12,80.26,77.76,32,0,3.33,clear sky,CN
212,Strai,58.2,7.9,69.01,77,75,21.92,broken clouds,NO
213,Labuhan,-6.88,112.21,79.11,68,66,12.86,broken clouds,ID
214,Salalah,17.02,54.09,78.8,94,90,8.05,overcast clouds,OM
215,Cherskiy,68.75,161.3,37.92,78,100,12.86,overcast clouds,RU
216,Yumen,40.28,97.2,72.18,39,60,8.75,broken clouds,CN
217,Geraldton,-28.77,114.6,57.2,82,100,9.17,overcast clouds,AU
218,Namatanai,-3.67,152.43,79.05,85,14,5.23,few clouds,PG
219,Shenjiamen,29.96,122.3,80.51,85,21,8.25,few clouds,CN
220,Bethlehem,-1.46,-48.5,86.0,74,40,11.41,scattered clouds,BR
221,Shimoda,34.67,138.95,75.0,87,0,1.99,clear sky,JP
222,Touros,-5.2,-35.46,78.8,88,75,10.29,broken clouds,BR
223,Pangai,-19.8,-174.35,77.16,87,17,13.09,few clouds,TO
224,Santa Fe,-31.63,-60.7,57.58,34,0,8.57,clear sky,AR
225,Palana,59.12,159.97,47.12,98,100,7.52,overcast clouds,RU
226,Dwarka,22.24,68.97,82.58,85,100,9.78,overcast clouds,IN
227,Ormara,25.21,64.64,83.25,82,100,4.36,light rain,PK
228,Vila Velha,-20.33,-40.29,77.0,64,75,18.34,broken clouds,BR
229,Vilhena,-12.74,-60.15,60.8,63,20,16.11,few clouds,BR
230,Abomsa,9.98,39.98,76.84,60,76,5.14,light rain,ET
231,Tres Palos,18.18,-101.62,84.2,74,75,5.82,broken clouds,MX
232,Belozerskoye,55.82,65.58,54.73,90,100,4.88,overcast clouds,RU
233,Riohacha,11.54,-72.91,88.5,63,61,9.73,broken clouds,CO
234,Haines Junction,60.75,-137.51,50.27,87,100,2.93,light rain,CA
235,Vagay,57.94,69.02,55.72,93,32,4.36,scattered clouds,RU
236,Roros,62.57,11.38,62.6,72,75,13.87,broken clouds,NO
237,Kungurtug,50.6,97.52,48.34,85,0,1.83,clear sky,RU
238,Smithers,54.78,-127.17,57.2,93,75,5.82,broken clouds,CA
239,Agadez,19.75,10.25,104.54,9,8,10.38,clear sky,NE
240,Saint-Jacques,45.95,-73.57,71.01,91,94,3.11,light rain,CA
241,Santiago Del Estero,-27.8,-64.26,61.2,28,0,12.08,clear sky,AR
242,Bull Savanna,17.89,-77.59,84.52,67,68,15.1,broken clouds,JM
243,Qaanaaq,77.48,-69.36,41.2,80,87,2.28,overcast clouds,GL
244,Manzil Salim,35.86,8.48,100.4,12,40,16.11,scattered clouds,TN
245,Muli,2.92,73.57,84.0,64,70,4.56,broken clouds,MV
246,Altay,47.87,88.12,61.21,54,74,20.07,broken clouds,CN
247,Riyadh,24.69,46.72,105.8,9,7,11.41,clear sky,SA
248,Berea,41.37,-81.85,81.0,41,40,4.7,scattered clouds,US
249,Skibbereen,51.55,-9.27,59.0,93,75,13.87,light intensity shower rain,IE
250,Catio,11.28,-15.25,79.92,85,99,11.77,moderate rain,GW
