City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Margate,GB,2020-08-17 15:24:18,51.38,1.39,75.0,63,11,1.01
70,Port Alfred,ZA,2020-08-17 15:24:18,-33.59,26.89,62.24,54,96,18.9
71,Chokurdakh,RU,2020-08-17 15:24:18,70.63,147.92,39.9,89,100,12.08
72,Bichena,ET,2020-08-17 15:24:18,10.45,38.2,62.11,92,99,1.5
73,Carnarvon,AU,2020-08-17 15:24:18,-24.87,113.63,55.4,93,75,5.82
74,Payo,ID,2020-08-17 15:24:19,-3.75,103.64,73.69,94,88,2.93
75,Skibbereen,IE,2020-08-17 15:24:19,51.55,-9.27,62.6,93,75,12.75
76,Broome,US,2020-08-17 15:24:19,42.25,-75.83,72.0,77,75,4.7
77,Kloulklubed,PW,2020-08-17 15:24:19,7.04,134.26,80.6,83,90,17.22
78,Southbridge,US,2020-08-17 15:22:49,42.08,-72.03,72.0,60,88,3.0
79,Merauke,ID,2020-08-17 15:24:20,-8.47,140.33,74.44,81,0,11.95
80,Yanaul,RU,2020-08-17 15:24:20,56.27,54.93,57.34,81,92,7.76
81,Mamaku,NZ,2020-08-17 15:24:20,-38.1,176.08,50.0,89,83,1.99
82,Thompson,CA,2020-08-17 15:24:21,55.74,-97.86,53.6,81,90,2.24
83,Ponta Do Sol,PT,2020-08-17 15:24:21,32.67,-17.1,77.0,66,0,3.51
84,Palmer,US,2020-08-17 15:24:21,42.16,-72.33,75.99,60,40,3.36
85,Cap Malheureux,MU,2020-08-17 15:24:21,-19.98,57.61,71.01,69,0,3.0
86,Tromso,NO,2020-08-17 15:24:22,69.65,18.96,48.2,81,75,9.17
87,Provideniya,RU,2020-08-17 15:24:22,64.38,-173.3,48.42,82,100,4.74
88,Non Sang,TH,2020-08-17 15:24:22,16.87,102.57,78.8,88,40,2.24
89,Torbay,CA,2020-08-17 15:24:22,47.67,-52.73,75.2,47,75,11.41
90,Beringovskiy,RU,2020-08-17 15:24:22,63.05,179.32,52.07,83,100,19.24
91,Doctor Arroyo,MX,2020-08-17 15:24:23,23.67,-100.18,68.09,64,99,1.59
92,Surgana,IN,2020-08-17 15:24:23,20.57,73.62,72.48,99,100,7.87
93,Padang,ID,2020-08-17 15:24:23,-0.95,100.35,78.73,77,100,4.14
94,Yulara,AU,2020-08-17 15:24:23,-25.24,130.99,66.2,29,0,12.75
95,Altagracia De Orituco,VE,2020-08-17 15:24:23,9.86,-66.38,83.26,73,80,0.38
96,Prince Rupert,CA,2020-08-17 15:24:21,54.32,-130.32,55.4,100,90,3.36
97,Basco,PH,2020-08-17 15:24:24,20.45,121.97,82.18,81,97,11.95
98,Mount Gambier,AU,2020-08-17 15:24:24,-37.83,140.77,48.2,93,40,10.29
99,Kenora,CA,2020-08-17 15:24:09,49.82,-94.43,62.6,67,40,9.17
100,Reims,FR,2020-08-17 15:24:24,49.17,4.08,66.2,82,37,11.41
101,Marsa Matruh,EG,2020-08-17 15:24:25,31.35,27.25,84.2,62,0,13.87
102,Dzerzhinsk,RU,2020-08-17 15:24:25,56.24,43.46,64.4,42,0,11.18
103,Saint-Joseph,RE,2020-08-17 15:24:25,-21.37,55.62,71.6,73,75,17.22
104,Nioro,GM,2020-08-17 15:24:25,13.35,-15.75,90.14,59,71,5.26
105,Mataura,NZ,2020-08-17 15:24:25,-46.19,168.86,37.0,96,81,3.0
106,Arraial Do Cabo,BR,2020-08-17 15:24:25,-22.97,-42.03,80.6,78,40,4.7
107,Pingyin,CN,2020-08-17 15:24:26,36.28,116.45,93.99,63,0,7.2
108,Calabozo,VE,2020-08-17 15:24:26,8.92,-67.43,85.06,75,36,2.37
109,Hilo,US,2020-08-17 15:20:35,19.73,-155.09,75.2,78,40,4.7
110,Naron,ES,2020-08-17 15:24:26,43.52,-8.15,71.01,76,100,5.99
111,Chuy,UY,2020-08-17 15:24:26,-33.7,-53.46,57.42,52,0,3.89
112,Grand Baie,MU,2020-08-17 15:24:27,-20.02,57.58,71.01,69,1,3.0
113,Qaanaaq,GL,2020-08-17 15:24:27,77.48,-69.36,40.35,68,61,7.92
114,Saint-Pierre,RE,2020-08-17 15:24:27,-21.34,55.48,71.6,73,75,17.22
115,Georgetown,MY,2020-08-17 15:24:21,5.41,100.34,82.4,83,20,0.76
116,Barrow,US,2020-08-17 15:24:28,71.29,-156.79,44.6,87,90,21.92
117,Lebyazhye,RU,2020-08-17 15:24:28,55.27,66.49,58.71,82,4,7.58
118,Busselton,AU,2020-08-17 15:24:28,-33.65,115.33,54.0,65,87,16.33
119,Souillac,MU,2020-08-17 15:24:28,-20.52,57.52,73.4,69,40,11.41
120,Jamestown,US,2020-08-17 15:24:20,42.1,-79.24,73.99,64,40,6.93
121,Saint-Philippe,RE,2020-08-17 15:24:29,-21.36,55.77,71.6,73,75,17.22
122,Saldanha,ZA,2020-08-17 15:24:29,-33.01,17.94,57.2,82,72,12.75
